Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3015   60.475    0.020   60.475    0.020 {built-in method time.sleep}
        2    4.968    2.484    4.968    2.484 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
   249/57    3.381    0.014    7.833    0.137 schema.py:241(_to_str_impl)
       16    2.928    0.183    2.928    0.183 {method 'read' of '_ssl._SSLSocket' objects}
    12708    2.726    0.000    3.185    0.000 schema.py:201(emit)
     3015    2.710    0.001    6.772    0.002 Image.py:1439(paste)
     1368    2.470    0.002    3.194    0.002 discovery.py:151(key2param)
       62    1.765    0.028    5.129    0.083 discovery.py:950(set_parameters)
       62    1.024    0.017   15.110    0.244 discovery.py:992(createMethod)
     6036    0.933    0.000    1.351    0.000 Image.py:804(load)
        5    0.930    0.186   68.726   13.745 main.py:97(scroll)
     3015    0.902    0.000    0.902    0.000 {method 'paste' of 'ImagingCore' objects}
     9045    0.641    0.000    0.966    0.000 Image.py:129(isImageType)
      487    0.604    0.001    0.604    0.001 {built-in method marshal.loads}
        2    0.574    0.287    0.574    0.287 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    13905    0.502    0.000    0.505    0.000 {method 'extend' of 'list' objects}
    35080    0.494    0.000    0.494    0.000 {method 'append' of 'list' objects}
      323    0.478    0.001    0.478    0.001 {built-in method builtins.compile}
    27082    0.457    0.000    0.457    0.000 {method 'rstrip' of 'str' objects}
     3015    0.447    0.000    0.997    0.000 Image.py:617(_ensure_mutable)
  597/143    0.422    0.001    1.206    0.008 sre_parse.py:493(_parse)
8800/8715    0.420    0.000    0.455    0.000 {method 'join' of 'str' objects}
     6036    0.418    0.000    0.418    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    16166    0.403    0.000    0.403    0.000 {method 'get' of 'dict' objects}
15525/14313    0.385    0.000    1.198    0.000 {built-in method builtins.hasattr}
1384/1357    0.365    0.000    1.390    0.001 {built-in method builtins.__build_class__}
    32115    0.350    0.000    0.621    0.000 {built-in method builtins.isinstance}
      995    0.315    0.000    1.103    0.001 <frozen importlib._bootstrap_external>:1438(find_spec)
23578/22284    0.314    0.000    0.328    0.000 {built-in method builtins.len}
    11653    0.285    0.000    0.285    0.000 {method 'isalnum' of 'str' objects}
     1045    0.284    0.000    0.296    0.000 {built-in method builtins.eval}
        6    0.262    0.044    0.262    0.044 {method 'draw_bitmap' of 'ImagingDraw' objects}
     2348    0.253    0.000    0.253    0.000 {built-in method posix.stat}
 1715/305    0.223    0.000    0.241    0.001 {built-in method _abc._abc_subclasscheck}
      249    0.219    0.001    0.296    0.001 schema.py:217(emitEnd)
      238    0.194    0.001    0.194    0.001 {method 'splitlines' of 'str' objects}
 1098/131    0.186    0.000    0.568    0.004 sre_compile.py:71(_compile)
     5417    0.181    0.000    0.450    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    10343    0.176    0.000    0.176    0.000 sre_parse.py:233(__next)
    30/29    0.176    0.006    0.203    0.007 {built-in method _imp.create_dynamic}
     1172    0.176    0.000    0.204    0.000 iri2uri.py:48(encode)
     5417    0.169    0.000    0.226    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
   251/98    0.168    0.001   17.075    0.174 _helpers.py:112(positional_wrapper)
    11062    0.166    0.000    0.168    0.000 {built-in method builtins.getattr}
     2065    0.150    0.000    0.151    0.000 {built-in method __new__ of type object at 0x482550}
      487    0.139    0.000    1.480    0.003 <frozen importlib._bootstrap_external>:856(get_code)
      543    0.136    0.000    0.230    0.000 sre_compile.py:276(_optimize_charset)
      487    0.135    0.000    0.135    0.000 {built-in method io.open_code}
        6    0.125    0.021    0.329    0.055 iri2uri.py:71(<listcomp>)
     8131    0.124    0.000    0.260    0.000 sre_parse.py:254(get)
     7699    0.123    0.000    0.181    0.000 sre_parse.py:164(__getitem__)
  579/543    0.120    0.000    2.259    0.004 <frozen importlib._bootstrap>:901(_find_spec)
       36    0.109    0.003    0.109    0.003 {method 'acquire' of '_thread.lock' objects}
        7    0.108    0.015   15.247    2.178 discovery.py:1407(_add_basic_methods)
      974    0.108    0.000    0.261    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      368    0.104    0.000    0.275    0.001 inspect.py:2150(_signature_from_function)
       56    0.101    0.002    7.936    0.142 schema.py:128(_prettyPrintSchema)
      655    0.097    0.000    0.207    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.093    0.093    0.131    0.131 connectionpool.py:479(close)
       62    0.092    0.001    0.118    0.002 discovery.py:752(_fix_up_parameters)
       37    0.091    0.002    0.242    0.007 enum.py:179(__new__)
   593/16    0.089    0.000   11.133    0.696 <frozen importlib._bootstrap>:1002(_find_and_load)
     3015    0.086    0.000    0.086    0.000 Image.py:551(size)
       14    0.085    0.006    0.489    0.035 feedparser.py:218(_parsegen)
        7    0.085    0.012    0.732    0.105 client.py:204(parse_headers)
      954    0.083    0.000    0.137    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        6    0.083    0.014    0.237    0.040 ImageFont.py:591(getmask2)
        6    0.082    0.014    0.082    0.014 {method 'render' of 'Font' objects}
       96    0.082    0.001    0.097    0.001 _policybase.py:293(header_source_parse)
 1232/268    0.082    0.000    0.111    0.000 sre_parse.py:174(getwidth)
  559/558    0.081    0.000    1.306    0.002 <frozen importlib._bootstrap_external>:1309(_get_spec)
        2    0.075    0.038    0.075    0.038 {method 'connect' of '_socket.socket' objects}
     5671    0.074    0.000    0.074    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        2    0.074    0.037    0.075    0.038 {built-in method _socket.getaddrinfo}
   542/16    0.072    0.000   11.052    0.691 <frozen importlib._bootstrap>:659(_load_unlocked)
      487    0.072    0.000    0.329    0.001 <frozen importlib._bootstrap_external>:976(get_data)
      542    0.070    0.000    0.354    0.001 <frozen importlib._bootstrap>:486(_init_module_attrs)
       36    0.069    0.002    0.156    0.004 util.py:182(_collapse_string_to_ranges)
       57    0.066    0.001    0.100    0.002 message.py:462(get)
   593/16    0.066    0.000   11.123    0.695 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      954    0.065    0.000    0.078    0.000 <frozen importlib._bootstrap>:87(acquire)
